Date,Venue,Block_buster
2025-06-17,T-Mobile Arena,1
2025-05-18,Madison Square Garden,1
2025-04-18,Etihad Arena,1
2025-03-19,Toyota Center,1
2025-02-17,UFC Apex,0
2025-01-18,O2 Arena,1
2024-12-19,Barclays Center,1
2024-11-19,Rogers Place,1
2024-10-20,TD Garden,0
2024-09-20,Honda Center,1
2024-08-21,Kia Forum,0
2024-07-22,Paycom Center,1
2024-06-22,Moda Center,0
2024-05-23,United Center,0
2024-04-23,Scotiabank Arena,1
2024-03-24,American Airlines Center,1
2024-02-23,Chase Center,0
2024-01-24,Kaseya Center,1
2023-12-25,Little Caesars Arena,0
2023-11-25,Crypto.com Arena,0
